track_id,name,car_bbox,confidence,recorded_time,entry_point,exit_point
6,autorotation,"{'x1': 1850.38367, 'y1': 35.48423, 'x2': 1920.0, 'y2': 444.99268}",0.15945,2024-09-17 12:27:20,,
6,autorotation,"{'x1': 1850.17224, 'y1': 34.68579, 'x2': 1920.0, 'y2': 446.80258}",0.15703,2024-09-17 12:27:20,,
6,autorotation,"{'x1': 1849.8905, 'y1': 34.77013, 'x2': 1920.0, 'y2': 448.16299}",0.16214,2024-09-17 12:27:21,,
6,autorotation,"{'x1': 1849.57312, 'y1': 34.60794, 'x2': 1919.99829, 'y2': 450.12149}",0.15692,2024-09-17 12:27:22,,
6,autorotation,"{'x1': 1849.3501, 'y1': 34.41665, 'x2': 1920.0, 'y2': 451.80869}",0.15764,2024-09-17 12:27:22,,
6,autorotation,"{'x1': 1849.33435, 'y1': 34.55379, 'x2': 1920.0, 'y2': 453.29648}",0.1608,2024-09-17 12:27:23,,
6,autorotation,"{'x1': 1849.37256, 'y1': 34.41913, 'x2': 1920.0, 'y2': 454.17624}",0.16302,2024-09-17 12:27:24,,
6,autorotation,"{'x1': 1849.20398, 'y1': 34.80587, 'x2': 1919.99573, 'y2': 454.03922}",0.16378,2024-09-17 12:27:24,,
6,autorotation,"{'x1': 1849.12939, 'y1': 35.16566, 'x2': 1920.0, 'y2': 454.25424}",0.16698,2024-09-17 12:27:25,,
6,autorotation,"{'x1': 1849.09814, 'y1': 35.73425, 'x2': 1919.99805, 'y2': 454.87573}",0.16447,2024-09-17 12:27:26,,
6,autorotation,"{'x1': 1849.16199, 'y1': 35.82558, 'x2': 1920.0, 'y2': 455.38309}",0.16405,2024-09-17 12:27:26,,
6,autorotation,"{'x1': 1849.0603, 'y1': 35.86152, 'x2': 1920.0, 'y2': 455.93875}",0.16902,2024-09-17 12:27:27,,
7,two_wheelersrotation,"{'x1': 263.91016, 'y1': 35.86782, 'x2': 399.56097, 'y2': 194.08623}",0.86902,2024-09-17 12:27:28,,
7,two_wheelersrotation,"{'x1': 277.30408, 'y1': 40.85682, 'x2': 410.22653, 'y2': 184.76237}",0.8714,2024-09-17 12:27:28,,
7,two_wheelersrotation,"{'x1': 281.60385, 'y1': 43.92331, 'x2': 413.76584, 'y2': 181.72202}",0.86965,2024-09-17 12:27:29,,
7,two_wheelersrotation,"{'x1': 291.92773, 'y1': 60.56037, 'x2': 428.50931, 'y2': 183.05092}",0.81111,2024-09-17 12:27:30,,
7,two_wheelersrotation,"{'x1': 295.10596, 'y1': 65.011, 'x2': 433.06766, 'y2': 183.7998}",0.81101,2024-09-17 12:27:30,,
7,two_wheelersrotation,"{'x1': 304.8176, 'y1': 43.43679, 'x2': 447.29901, 'y2': 185.5798}",0.87014,2024-09-17 12:27:31,,
7,two_wheelersrotation,"{'x1': 308.01535, 'y1': 36.97975, 'x2': 452.16205, 'y2': 186.04642}",0.87055,2024-09-17 12:27:32,,
7,two_wheelersrotation,"{'x1': 321.11578, 'y1': 35.9966, 'x2': 464.64862, 'y2': 185.44566}",0.80439,2024-09-17 12:27:32,,
7,two_wheelersrotation,"{'x1': 325.71017, 'y1': 35.79909, 'x2': 468.96338, 'y2': 185.27422}",0.80197,2024-09-17 12:27:33,,
7,two_wheelersrotation,"{'x1': 356.27072, 'y1': 43.41239, 'x2': 482.20563, 'y2': 185.80432}",0.78363,2024-09-17 12:27:34,,
7,two_wheelersrotation,"{'x1': 366.67639, 'y1': 46.1591, 'x2': 486.63477, 'y2': 186.02747}",0.78676,2024-09-17 12:27:34,,
7,two_wheelersrotation,"{'x1': 391.34747, 'y1': 37.38778, 'x2': 501.31543, 'y2': 188.42145}",0.6822,2024-09-17 12:27:35,,
8,two_wheelersrotation,"{'x1': 355.74872, 'y1': 32.30295, 'x2': 452.60098, 'y2': 131.1721}",0.642,2024-09-17 12:27:36,,
8,two_wheelersrotation,"{'x1': 365.55731, 'y1': 36.27765, 'x2': 453.30603, 'y2': 134.26804}",0.58897,2024-09-17 12:27:36,,
9,two_wheelersrotation,"{'x1': 397.43643, 'y1': 39.36575, 'x2': 520.59808, 'y2': 193.35132}",0.67085,2024-09-17 12:27:37,North,
8,two_wheelersrotation,"{'x1': 380.99915, 'y1': 43.64353, 'x2': 468.83383, 'y2': 135.75424}",0.80719,2024-09-17 12:27:38,,
8,two_wheelersrotation,"{'x1': 384.70209, 'y1': 45.44093, 'x2': 473.17828, 'y2': 135.80269}",0.80784,2024-09-17 12:27:38,,
9,two_wheelersrotation,"{'x1': 429.27509, 'y1': 35.5062, 'x2': 556.12476, 'y2': 202.24118}",0.59066,2024-09-17 12:27:39,North,North
